,University,Category,Spend,Month,Specialist
0,NUIG,Library,53250,6,Tom
1,UL,Specific,41080,12,Mary
2,UL,Library,83812,2,Mary
3,DCU,Vet,81111,4,John
4,UL,Library,95272,4,Ann
5,UCD,Library,28466,11,Mark
6,UCD,Agric,45427,9,Mary
7,NUIG,Library,95238,10,Mary
8,TCD,Specific,63406,6,Mark
9,NUIG,Vet,65621,6,Ann
10,UCD,Library,73373,7,Tom
11,UCD,Vet,96070,1,John
12,UCD,Vet,72273,10,Mark
13,NUIG,Library,64078,8,Mary
14,DCU,Agric,27987,6,Tom
15,TCD,Lab,46074,2,John
16,DCU,Library,53039,6,Mark
17,DCU,Lab,93828,7,Mary
18,TCD,Library,63569,11,Ann
19,UCD,Vet,36100,11,Mark
20,UCD,Library,66294,12,Mary
21,NUIG,Lab,50819,7,Tom
22,NUIG,Vet,33292,9,Mark
23,DCU,Library,65444,8,John
24,TCD,Agric,98330,6,Ann
25,TCD,Specific,45129,12,Mark
26,UL,Library,62644,11,Mark
27,UL,Agric,67729,4,Ann
28,DCU,Lab,66808,11,Tom
29,NUIG,Agric,27173,3,John
30,UCD,Specific,99890,10,Mary
31,UCD,Agric,31874,12,Tom
32,DCU,Library,86761,10,Mary
33,TCD,Agric,27757,4,John
34,UL,Library,37120,3,Tom
35,NUIG,Lab,48842,6,Mark
36,TCD,Specific,94583,11,Tom
37,NUIG,Agric,77462,5,Mary
38,NUIG,Specific,98381,2,Mark
39,DCU,Agric,68864,6,Ann
40,UL,Specific,90094,9,Tom
41,UL,Agric,98364,4,Tom
42,UCD,Lab,46107,6,Mark
43,TCD,Lab,29930,9,Tom
44,TCD,Library,74756,5,Mark
45,UL,Agric,82308,11,Ann
46,NUIG,Lab,45165,2,Tom
47,UCD,Lab,25100,8,Mary
48,UCD,Specific,78942,9,Tom
49,NUIG,Lab,99573,2,Mark
